Time Interval, Browse Path, Value Source, Data Type
"0","Compressors/COMP-01/Alm/Value","false","Boolean"
"0","Compressors/COMP-01/Amps/Value","realistic(185.0, 5.0, 0.04, 0.18, true)","Float"
"0","Compressors/COMP-01/AutoEN","true","Boolean"
"0","Compressors/COMP-01/CP_Mode/Value","2","Int32"
"0","Compressors/COMP-01/Cmd_Auto","false","Boolean"
"0","Compressors/COMP-01/Cmd_Manual","false","Boolean"
"0","Compressors/COMP-01/Cmd_Remote","false","Boolean"
"0","Compressors/COMP-01/Cmd_Start","false","Boolean"
"0","Compressors/COMP-01/Cmd_Stop","false","Boolean"
"0","Compressors/COMP-01/Color/Value","1","Int32"
"0","Compressors/COMP-01/Comm/Value","false","Boolean"
"0","Compressors/COMP-01/Cutout/Value","false","Boolean"
"0","Compressors/COMP-01/DisP/Value","35.0","Float"
"0","Compressors/COMP-01/FLA/Value","realistic(78.0, 3.0, 0.05, 0.2, true)","Float"
"0","Compressors/COMP-01/Fail_Timer_PRE","30.0","Float"
"0","Compressors/COMP-01/Failed/Value","false","Boolean"
"0","Compressors/COMP-01/Interlock/Cfg_Bypassable","7","Int32"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt00","Oil Pressure","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt01","Discharge Temp","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt02","Motor OL","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt03","Emergency Stop","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt04","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt05","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt06","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt07","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt08","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt09","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt10","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt11","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt12","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt13","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt14","","String"
"0","Compressors/COMP-01/Interlock/Cfg_CondTxt15","","String"
"0","Compressors/COMP-01/Interlock/MSet_Bypass00","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass01","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass02","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass03","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass04","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass05","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass06","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass07","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass08","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass09","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass10","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass11","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass12","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass13","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass14","false","Boolean"
"0","Compressors/COMP-01/Interlock/MSet_Bypass15","false","Boolean"
"0","Compressors/COMP-01/Interlock/OCmd_Reset","false","Boolean"
"0","Compressors/COMP-01/Interlock/Rdy_Reset","true","Boolean"
